Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,01-01-2025,2025,1,1,,0.2,,-3.7,,-1.7,,19.7,,0,,,,,,7.4,,12,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,02-01-2025,2025,1,2,,-2.4,,-8.4,,-5.4,,23.4,,0,,,,,,0.1,,17,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,03-01-2025,2025,1,3,,-8.2,,-15.1,,-11.7,,29.7,,0,,,,,,0.5,,16,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,04-01-2025,2025,1,4,,-8.2,,-16.4,,-12.3,,30.3,,0,,,,,,0.8,,16,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,05-01-2025,2025,1,5,,-8.6,,-15,,-11.8,,29.8,,0,,,,,,0.3,,17,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,06-01-2025,2025,1,6,,-10.4,,-19.1,,-14.8,,32.8,,0,,,,,,0,,16,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,07-01-2025,2025,1,7,,-9.2,,-16.5,,-12.9,,30.9,,0,,,,,,0.3,,17,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,08-01-2025,2025,1,8,,-10.7,,-20.9,,-15.8,,33.8,,0,,,,,,0,,17,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,09-01-2025,2025,1,9,,-7.6,,-19.2,,-13.4,,31.4,,0,,,,,,0,,16,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,10-01-2025,2025,1,10,,-3.8,,-24,,-13.9,,31.9,,0,,,,,,2.3,,16,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,11-01-2025,2025,1,11,,-3.2,,-10.6,,-6.9,,24.9,,0,,,,,,1.7,,19,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,12-01-2025,2025,1,12,,-2.5,,-5.4,,-3.9,,21.9,,0,,,,,,2.4,,19,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,13-01-2025,2025,1,13,,-1.1,,-8.1,,-4.6,,22.6,,0,,,,,,2.5,,22,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,14-01-2025,2025,1,14,,-6.4,,-14.7,,-10.6,,28.6,,0,,,,,,0,,25,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,15-01-2025,2025,1,15,,-5.4,,-14.1,,-9.8,,27.8,,0,,,,,,0,,25,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,16-01-2025,2025,1,16,,-6.1,,-10.6,,-8.3,,26.3,,0,,,,,,0.1,,24,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,17-01-2025,2025,1,17,,-0.7,,-10.1,,-5.4,,23.4,,0,,,,,,0.1,,23,,25,,38,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,18-01-2025,2025,1,18,,0.8,,-12.1,,-5.7,,23.7,,0,,,,,,4.7,,24,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,19-01-2025,2025,1,19,,-11.7,,-23,,-17.4,,35.4,,0,,,,,,0,,26,,,,,
-78.27,45.53,ALGONQUIN PARK EAST GATE,6080192,20-01-2025,2025,1,20,,-12.9,,-32.1,,-22.5,,40.5,,0,,,,,,1.6,,26,,,,,
