date,t_max,t_min,precip,source
2025-01-01 00:00:00,0.2,-3.7,7.4,eccc
2025-01-02 00:00:00,-13.5,-27.9,0.0,eccc
2025-01-03 00:00:00,-4.3,-22.9,0.9,eccc
2025-01-04 00:00:00,-1.6,-14.4,0.0,eccc
2025-01-05 00:00:00,14.2,-4.7,8.1,eccc
2025-01-06 00:00:00,11.0,0.7,0.0,eccc
2025-01-07 00:00:00,28.0,15.0,0.0,eccc
2025-01-08 00:00:00,22.1,3.6,0.0,eccc
2025-01-09 00:00:00,25.7,4.8,0.0,eccc
2025-01-10 00:00:00,,,,eccc
2025-01-11 00:00:00,,,,eccc
2025-01-12 00:00:00,,,,eccc
2025-02-01 00:00:00,-2.4,-8.4,0.1,eccc
2025-02-02 00:00:00,-11.6,-27.7,0.9,eccc
2025-02-03 00:00:00,-9.5,-31.0,0.0,eccc
2025-02-04 00:00:00,0.7,-15.8,9.5,eccc
2025-02-05 00:00:00,,,,eccc
2025-02-06 00:00:00,21.4,-1.6,0.0,eccc
2025-02-07 00:00:00,27.9,13.4,0.0,eccc
2025-02-08 00:00:00,25.7,5.5,0.0,eccc
2025-02-09 00:00:00,24.5,7.8,0.0,eccc
2025-02-10 00:00:00,,,,eccc
2025-02-11 00:00:00,,,,eccc
2025-02-12 00:00:00,,,,eccc
2025-03-01 00:00:00,-8.2,-15.1,0.5,eccc
2025-03-02 00:00:00,-0.9,-13.0,1.9,eccc
2025-03-03 00:00:00,-2.9,-24.9,0.2,eccc
2025-03-04 00:00:00,11.0,0.4,6.0,eccc
2025-03-05 00:00:00,12.2,-1.2,0.0,eccc
2025-03-06 00:00:00,27.0,4.6,0.0,eccc
2025-03-07 00:00:00,22.2,7.2,0.0,eccc
2025-03-08 00:00:00,26.8,12.5,0.0,eccc
2025-03-09 00:00:00,25.0,5.7,0.0,eccc
2025-03-10 00:00:00,,,,eccc
2025-03-11 00:00:00,,,,eccc
2025-03-12 00:00:00,,,,eccc
2025-04-01 00:00:00,-8.2,-16.4,0.8,eccc
2025-04-02 00:00:00,-9.3,-26.0,0.0,eccc
2025-04-03 00:00:00,0.7,-9.0,6.9,eccc
2025-04-04 00:00:00,10.3,-2.6,0.0,eccc
2025-04-05 00:00:00,20.0,-2.7,0.3,eccc
2025-04-06 00:00:00,29.3,14.7,20.2,eccc
2025-04-07 00:00:00,25.4,5.5,0.0,eccc
2025-04-08 00:00:00,21.8,10.5,0.0,eccc
2025-04-09 00:00:00,15.0,1.4,12.5,eccc
2025-04-10 00:00:00,,,,eccc
2025-04-11 00:00:00,,,,eccc
2025-04-12 00:00:00,,,,eccc
2025-05-01 00:00:00,-8.6,-15.0,0.3,eccc
2025-05-02 00:00:00,-9.7,-30.8,0.0,eccc
2025-05-03 00:00:00,3.0,0.1,19.1,eccc
2025-05-04 00:00:00,5.1,-1.7,5.0,eccc
2025-05-05 00:00:00,20.1,3.4,2.9,eccc
2025-05-06 00:00:00,22.2,8.7,0.1,eccc
2025-05-07 00:00:00,30.6,10.7,0.0,eccc
2025-05-08 00:00:00,25.0,9.4,0.0,eccc
2025-05-09 00:00:00,18.6,0.8,17.0,eccc
2025-05-10 00:00:00,,,,eccc
2025-05-11 00:00:00,,,,eccc
2025-05-12 00:00:00,,,,eccc
2025-06-01 00:00:00,-10.4,-19.1,0.0,eccc
2025-06-02 00:00:00,-3.3,-23.3,4.6,eccc
2025-06-03 00:00:00,3.5,-10.1,1.3,eccc
2025-06-04 00:00:00,3.4,-8.0,0.0,eccc
2025-06-05 00:00:00,20.1,10.4,1.8,eccc
2025-06-06 00:00:00,24.4,7.7,0.0,eccc
2025-06-07 00:00:00,29.0,16.6,12.4,eccc
2025-06-08 00:00:00,26.8,9.0,0.0,eccc
2025-06-09 00:00:00,15.2,6.9,0.0,eccc
2025-06-10 00:00:00,,,,eccc
2025-06-11 00:00:00,,,,eccc
2025-06-12 00:00:00,,,,eccc
2025-07-01 00:00:00,-9.2,-16.5,0.3,eccc
2025-07-02 00:00:00,-4.9,-11.9,0.7,eccc
2025-07-03 00:00:00,-2.4,-11.0,6.0,eccc
2025-07-04 00:00:00,5.9,-10.6,9.3,eccc
2025-07-05 00:00:00,14.3,2.6,0.6,eccc
2025-07-06 00:00:00,21.3,5.4,0.0,eccc
2025-07-07 00:00:00,18.1,12.3,15.4,eccc
2025-07-08 00:00:00,28.8,10.8,0.0,eccc
2025-07-09 00:00:00,15.4,4.5,0.4,eccc
2025-07-10 00:00:00,,,,eccc
2025-07-11 00:00:00,,,,eccc
