date,t_max,t_min,precip
2025-10-05 04:00:00,27.882,11.882,0.0
2025-10-06 04:00:00,25.282,12.232,0.0
2025-10-07 04:00:00,16.731998,7.3925,5.2000003
2025-10-08 04:00:00,10.2425,0.89250004,0.0
2025-10-09 04:00:00,12.0425,-1.3575,0.0
2025-10-10 04:00:00,16.4425,1.5425,0.0
2025-10-11 04:00:00,19.4925,5.4425,0.0
2025-10-12 04:00:00,20.0425,7.4425,0.0
2025-10-13 04:00:00,19.6425,6.3925,0.0
2025-10-14 04:00:00,19.5425,6.9425,0.0
2025-10-15 04:00:00,15.942499,11.0425,0.6
2025-10-16 04:00:00,13.592501,10.2425,5.7000003
2025-10-17 04:00:00,12.5425,5.1425,0.9000001
2025-10-18 04:00:00,7.7925,2.8925,0.0
2025-10-19 04:00:00,3.7425,2.6425,0.3
2025-10-20 04:00:00,5.6425,-0.35749996,0.0
